Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
1/26/2024,Friday,9.99,Apple storage,Entertainment and Recreation,Debit,Want
1/26/2024,Friday,4.99,ice cream target,Food,Debit,Want
1/26/2024,Friday,25.00,petco pet food,Entertainment and Recreation,Debit,Need
1/26/2024,Friday,985.16,paycheck,Financial goals and Savings,Debit,Savings
1/27/2024,Friday,34.06,mexican food,Food,Debit,Want
1/28/2024,Sunday,5.00,snacks liquor store,Food,Cash,Want
1/29/2024,Monday,53.00,eating out,Food,Debit,Want
1/30/2024,Tuesday,120.00,tattoo,Entertainment and Recreation,Cash,Want
1/30/2024,Tuesday,25.58,ramen and boba,Food,Debit,Need
1/31/2024,Wednesday,2.06,snacks,Food,Debit,Want
2/2/2024,Friday,5.50,boba,Food,Debit,Want